OBJECTID,FEATTYPE,TYPE,NAME,FEATREL,ATTRREL,PLANACC,SOURCE,CREATED,RETIRED,PID,SYMBOL,FEATWIDTH,ORIENTATN,geometry
489,Airport,1,WEST SALE AERODROME,2001-01-10,2001-01-10,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47346,701,0.0,0,POINT (146.965 -38.09167)
494,Airport,1,ECHUCA AERODROME,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45466,701,0.0,0,POINT (144.76167 -36.15667)
495,Airport,1,BENDIGO AERODROME,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49695,701,0.0,0,POINT (144.32999999999998 -36.74)
519,Airport,1,CORRYONG AERODROME,2000-01-12,2000-01-12,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46452,701,0.0,0,POINT (147.88833 -36.18333)
523,Airport,1,PROSERPINE WHITSUNDAY COAST AIRPORT,2001-05-08,2001-05-08,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50232,701,0.0,0,POINT (148.55167 -20.495)
1522,Airport,1,TELFER AERODROME,2003-09-11,2003-09-11,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48290,701,0.0,0,POINT (122.22833 -21.715)
1530,Airport,1,ALBANY AERODROME,2002-03-20,2002-03-20,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48313,701,0.0,0,POINT (117.80833 -34.94333)
1535,Airport,1,GRAFTON AIRPORT,2002-05-23,2002-05-23,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44364,701,0.0,0,POINT (153.03 -29.76)
1541,Airport,1,WARRNAMBOOL AERODROME,2001-01-02,2001-01-02,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46662,701,0.0,0,POINT (142.44666999999998 -38.295)
1546,Airport,1,ROMA AERODROME,2002-07-24,2002-07-24,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46293,701,0.0,0,POINT (148.77 -26.55)
2655,Airport,1,GOONDIWINDI AERODROME,2001-08-03,2001-08-03,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47178,701,0.0,0,POINT (150.32 -28.52167)
2689,Airport,1,CHARLEVILLE AERODROME,2000-11-15,2000-11-15,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50350,701,0.0,0,POINT (146.26333 -26.41333)
3830,Airport,1,ALPHA AERODROME,2003-03-20,2003-03-20,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48387,701,0.0,0,POINT (146.58266 -23.65273)
