OBJECTID,FEATTYPE,TYPE,MAPNUMBER,CREATED,RETIRED,PID,SYMBOL,TEXTNOTE,SHAPE_Leng,geometry
1258,Runway Centreline,5,G5516,2006-05-09,,1007585,0,,0.00521636846858,"LINESTRING (148.60603 -27.30561, 148.60755 -27.3106)"
1259,Runway Centreline,5,G5516,2006-05-09,,1007586,0,,0.00847257339891,"LINESTRING (148.52353 -27.48006, 148.52471 -27.48845)"
1260,Runway Centreline,5,G5516,2006-05-09,,1007587,0,,0.0114092287206,"LINESTRING (149.3025 -27.78129, 149.29846 -27.79196)"
1261,Runway Centreline,5,G5516,2006-05-09,,1007588,0,,0.00945321638385,"LINESTRING (150.03995 -27.89831, 150.04627 -27.89128)"
1262,Runway Centreline,5,G5516,2006-05-09,,1007589,0,,0.00778989088499,"LINESTRING (149.75352 -27.76246, 149.76122 -27.76364)"
1263,Runway Centreline,5,G5516,2006-05-09,,1007590,0,,0.00851334246932,"LINESTRING (149.40566 -27.31744, 149.41415 -27.31681)"
1264,Runway Centreline,5,G5516,2006-05-09,,1007591,0,,0.00756711305585,"LINESTRING (149.76674 -27.62223, 149.7592 -27.62159)"
1265,Runway Centreline,5,G5516,2006-05-09,,1007592,0,,0.00974930253915,"LINESTRING (149.42604 -27.66943, 149.42249 -27.67851)"
1266,Runway Centreline,5,G5516,2006-05-09,,1007593,0,,0.013962095115,"LINESTRING (149.94942 -27.668, 149.96193 -27.6742)"
1267,Runway Centreline,5,G5603,2006-05-09,,1007602,706,,0.0144237477793,"LINESTRING (152.88819 -25.32409, 152.87521 -25.3178)"
1268,Runway Centreline,5,G5603,2006-05-09,,1007603,706,,0.00542760536518,"LINESTRING (152.71858 -25.51645, 152.71416 -25.5133)"
1269,Runway Centreline,5,I5613,2006-05-09,,1007809,706,,0.0200342332022,"LINESTRING (150.55189000000001 -34.93547, 150.53656999999998 -34.94838)"
1270,Runway Centreline,5,I5613,2006-05-09,,1007810,706,,0.011999283312,"LINESTRING (150.54855 -34.94906, 150.53656999999998 -34.94838)"
1271,Runway Centreline,5,I5613,2006-05-09,,1007811,706,,0.0100684954189,"LINESTRING (150.53656999999998 -34.94838, 150.52652 -34.94777)"
1272,Runway Centreline,5,I5613,2006-05-09,,1007812,706,,0.00715274772377,"LINESTRING (150.70359 -35.14632, 150.69646 -35.14575)"
1277,Runway Centreline,5,G5001,2006-05-09,,1004567,0,,0.00665840821818,"LINESTRING (115.35196 -24.23068, 115.35284 -24.22408)"
1279,Runway Centreline,5,G5001,2006-05-09,,1004566,0,,0.0107422530225,"LINESTRING (115.18965 -24.05955, 115.20023 -24.06141)"
1291,Runway Centreline,5,H5409,2006-05-09,,1004287,706,,0.00238817922276,"LINESTRING (138.42551 -30.59592, 138.42686 -30.59395)"
1292,Runway Centreline,5,H5409,2006-05-09,,1004288,706,,0.00120768373343,"LINESTRING (138.42444 -30.59536, 138.42551 -30.59592)"
1293,Runway Centreline,5,H5409,2006-05-09,,1004289,706,,0.0156675524572,"LINESTRING (138.42551 -30.59592, 138.43941999999998 -30.60313)"
1294,Runway Centreline,5,H5409,2006-05-09,,1004290,706,,0.00894807241813,"LINESTRING (138.42045 -30.6033, 138.42551 -30.59592)"
1297,Runway Centreline,5,G5509,2006-05-09,,1004310,706,,0.0145024756507,"LINESTRING (144.25051 -26.60896, 144.26498 -26.60993)"
1298,Runway Centreline,5,D5302,2006-05-09,,1004313,706,,0.0129857652836,"LINESTRING (134.88728 -12.09252, 134.89902 -12.09807)"
1299,Runway Centreline,5,D5302,2006-05-09,,1004314,706,,0.0127256748348,"LINESTRING (134.88582 -12.357259999999997, 134.89854 -12.357640000000004)"
1300,Runway Centreline,5,D5302,2006-05-09,,1004315,706,,0.0138573301902,"LINESTRING (134.23239 -12.052390000000003, 134.23959 -12.064230000000002)"
1301,Runway Centreline,5,D5307,2006-05-09,,1004320,706,,0.0175874074269,"LINESTRING (136.44966 -13.970860000000002, 136.46701 -13.97374)"
1302,Runway Centreline,5,D5304,2006-05-09,,1004330,706,,0.0187946934,"LINESTRING (136.81686 -12.268799999999999, 136.83164 -12.280410000000003)"
1305,Runway Centreline,5,I5311,2006-05-09,,1004331,706,,0.0137776921144,"LINESTRING (135.877 -34.61259, 135.88162 -34.59961)"
