OBJECTID,FEATTYPE,TYPE,MAPNUMBER,CREATED,RETIRED,PID,SYMBOL,TEXTNOTE,SHAPE_Leng,geometry
1248,Pointer,4,H5306,2006-05-09,,1004145,265,,0.0211727844177,"LINESTRING (134.7456 -28.98402, 134.73932 -29.00424)"
1249,Pointer,4,G5314,2006-05-09,,1007311,265,,0.0110778382368,"LINESTRING (133.63895 -27.30867, 133.62979 -27.30244)"
1250,Pointer,4,H5310,2006-05-09,,1007543,265,,0.00492374857198,"LINESTRING (134.52594 -30.69946, 134.53017 -30.70198)"
1251,Pointer,4,H5310,2006-05-09,,1007548,265,,0.00903210385239,"LINESTRING (134.58651 -30.69677, 134.57768 -30.69867)"
1252,Pointer,4,H5310,2006-05-09,,1007394,265,,0.0178845324233,"LINESTRING (134.58858 -30.72205, 134.57796 -30.70766)"
1253,Pointer,4,H5310,2006-05-09,,1007215,265,,0.0206381442964,"LINESTRING (134.5461 -30.73139, 134.53937 -30.71188)"
1254,Pointer,4,H5306,2006-05-09,,1007550,265,,0.00768178364703,"LINESTRING (134.95891 -29.99238, 134.96568 -29.99601)"
1255,Pointer,4,H5316,2006-05-09,,1007389,265,,0.0106087746701,"LINESTRING (136.80476 -31.19475, 136.81507 -31.19225)"
1256,Pointer,4,H5405,2006-05-09,,1007239,265,,0.00495662183346,"LINESTRING (139.31645 -29.82448, 139.32054 -29.82168)"
1257,Pointer,4,H5409,2006-05-09,,1007466,265,,0.00513007797211,"LINESTRING (138.52308 -30.45017, 138.51889 -30.45313)"
1258,Runway Centreline,5,G5516,2006-05-09,,1007585,0,,0.00521636846858,"LINESTRING (148.60603 -27.30561, 148.60755 -27.3106)"
1259,Runway Centreline,5,G5516,2006-05-09,,1007586,0,,0.00847257339891,"LINESTRING (148.52353 -27.48006, 148.52471 -27.48845)"
1260,Runway Centreline,5,G5516,2006-05-09,,1007587,0,,0.0114092287206,"LINESTRING (149.3025 -27.78129, 149.29846 -27.79196)"
1261,Runway Centreline,5,G5516,2006-05-09,,1007588,0,,0.00945321638385,"LINESTRING (150.03995 -27.89831, 150.04627 -27.89128)"
1262,Runway Centreline,5,G5516,2006-05-09,,1007589,0,,0.00778989088499,"LINESTRING (149.75352 -27.76246, 149.76122 -27.76364)"
1263,Runway Centreline,5,G5516,2006-05-09,,1007590,0,,0.00851334246932,"LINESTRING (149.40566 -27.31744, 149.41415 -27.31681)"
1264,Runway Centreline,5,G5516,2006-05-09,,1007591,0,,0.00756711305585,"LINESTRING (149.76674 -27.62223, 149.7592 -27.62159)"
1265,Runway Centreline,5,G5516,2006-05-09,,1007592,0,,0.00974930253915,"LINESTRING (149.42604 -27.66943, 149.42249 -27.67851)"
1266,Runway Centreline,5,G5516,2006-05-09,,1007593,0,,0.013962095115,"LINESTRING (149.94942 -27.668, 149.96193 -27.6742)"
1267,Runway Centreline,5,G5603,2006-05-09,,1007602,706,,0.0144237477793,"LINESTRING (152.88819 -25.32409, 152.87521 -25.3178)"
