NAME,geometry
HERVEY BAY AERODROME,"LINESTRING (17019436.161869947 -2915603.032329977, 17017991.235104203 -2914828.411985341)"
HERVEY BAY AERODROME,"LINESTRING (17019436.161869947 -2915603.032329977, 17017991.235104203 -2914828.411985341)"
MARYBOROUGH AIRPORT,"LINESTRING (17000555.262296345 -2939311.8668939373, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999783.818367004 -2938702.525770017)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999938.552518785 -2938014.2719326336)"
MARYBOROUGH AIRPORT,"LINESTRING (17000179.0024052 -2939764.5716739246, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000555.262296345 -2939311.8668939373, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999783.818367004 -2938702.525770017)"
MARYBOROUGH AIRPORT,"LINESTRING (17000179.0024052 -2939764.5716739246, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999938.552518785 -2938014.2719326336)"
,"LINESTRING (16759360.33200676 -4155113.4994186508, 16757654.917471118 -4156866.673028973)"
,"LINESTRING (16758988.524760658 -4156959.024608104, 16757654.917471118 -4156866.673028973)"
,"LINESTRING (16757654.917471118 -4156866.673028973, 16756536.156765554 -4156783.828890469)"
,"LINESTRING (16776247.493057821 -4183781.536742943, 16775453.785216888 -4183703.9372002725)"
,"LINESTRING (16775453.785216888 -4183703.9372002725, 16774459.702324139 -4183614.0857688556)"
,"LINESTRING (16775305.73037831 -4183145.7816861956, 16775453.785216888 -4183703.9372002725)"
,"LINESTRING (16775453.785216888 -4183703.9372002725, 16775787.743498873 -4184967.3784184083)"
LEIGH CREEK AERODROME,"LINESTRING (15409458.12309542 -3580380.3518316243, 15409608.404399687 -3580125.5857215417)"
LEIGH CREEK AERODROME,"LINESTRING (15409339.0112597 -3580307.9304739037, 15409458.12309542 -3580380.3518316243)"
LEIGH CREEK AERODROME,"LINESTRING (15409458.12309542 -3580380.3518316243, 15411006.576960156 -3581312.8142017955)"
LEIGH CREEK AERODROME,"LINESTRING (15408894.846503178 -3581334.8008741857, 15409458.12309542 -3580380.3518316243)"
